date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
2020-03-17,202012,3351543.0,3337357.0,False,False,1,0.02984,2020-03-17,0.0,0,10,state,AL,0,0
2020-03-17,202012,4207714.0,4144597.0,False,True,2,0.04753,2020-03-13,0.0,0,5,state,AM,0,0
2020-03-17,202012,14930634.0,14873064.0,False,False,14,0.09377,2020-03-17,0.0,0,12,state,BA,4,0
2020-03-17,202012,9187103.0,9132078.0,False,False,10,0.10885,2020-03-17,0.0,0,2,state,CE,1,0
2020-03-17,202012,3055149.0,3015268.0,False,True,19,0.6219,2020-03-16,0.0,0,11,state,DF,0,0
2020-03-17,202012,4064052.0,4018650.0,False,False,8,0.19685,2020-03-17,0.0,0,13,state,ES,0,0
2020-03-17,202012,7113540.0,7018354.0,False,False,10,0.14057999999999998,2020-03-17,0.0,0,6,state,GO,1,0
2020-03-17,202012,21292666.0,21168791.0,False,False,14,0.06575,2020-03-17,0.0,0,10,state,MG,8,0
2020-03-17,202012,2809394.0,2778986.0,False,False,6,0.21356999999999998,2020-03-17,0.0,0,4,state,MS,2,0
2020-03-17,202012,4039277.0,4018127.0,False,False,0,,2020-03-17,0.0,0,6,state,PB,0,0
2020-03-17,202012,9616621.0,9557071.0,False,False,18,0.18717999999999999,2020-03-17,0.0,0,6,state,PE,10,0
2020-03-17,202012,11516840.0,11433957.0,False,False,12,0.1042,2020-03-17,0.0,0,6,state,PR,6,0
2020-03-17,202012,17366189.0,17264943.0,False,True,25,0.14396,2020-03-16,0.0,0,13,state,RJ,0,0
2020-03-17,202012,3534165.0,3506853.0,False,True,1,0.0283,2020-03-16,0.0,0,6,state,RN,0,0
2020-03-17,202012,11422973.0,11377239.0,False,True,8,0.07003,2020-03-16,0.0,0,8,state,RS,0,0
2020-03-17,202012,7252502.0,7164788.0,False,False,7,0.09652000000000001,2020-03-17,0.0,0,6,state,SC,0,0
2020-03-17,202012,2318822.0,2298696.0,False,True,5,0.21563000000000002,2020-03-16,0.0,0,4,state,SE,0,0
2020-03-17,202012,46289333.0,45919049.0,False,False,164,0.35429,2020-03-17,0.0061,1,22,state,SP,12,1
2020-03-18,202012,894470.0,881935.0,False,False,3,0.33539,2020-03-18,0.0,0,2,state,AC,0,0
2020-03-18,202012,3351543.0,3337357.0,False,False,1,0.02984,2020-03-18,0.0,0,11,state,AL,0,0
2020-03-18,202012,4207714.0,4144597.0,False,False,2,0.04753,2020-03-18,0.0,0,6,state,AM,0,0
2020-03-18,202012,14930634.0,14873064.0,False,False,27,0.18084,2020-03-18,0.0,0,13,state,BA,13,0
2020-03-18,202012,9187103.0,9132078.0,False,False,19,0.20681,2020-03-18,0.0,0,3,state,CE,9,0
2020-03-18,202012,3055149.0,3015268.0,False,False,34,1.1128799999999999,2020-03-18,0.0,0,12,state,DF,15,0
2020-03-18,202012,4064052.0,4018650.0,False,False,11,0.27066999999999997,2020-03-18,0.0,0,14,state,ES,3,0
2020-03-18,202012,7113540.0,7018354.0,False,False,12,0.16869,2020-03-18,0.0,0,7,state,GO,2,0
2020-03-18,202012,21292666.0,21168791.0,False,False,19,0.08922999999999999,2020-03-18,0.0,0,11,state,MG,5,0
2020-03-18,202012,2809394.0,2778986.0,False,False,7,0.24916,2020-03-18,0.0,0,5,state,MS,1,0
2020-03-18,202012,8690745.0,8602865.0,False,False,1,0.01151,2020-03-18,0.0,0,1,state,PA,1,0
2020-03-18,202012,4039277.0,4018127.0,False,False,1,0.02476,2020-03-18,0.0,0,7,state,PB,1,0
2020-03-18,202012,9616621.0,9557071.0,False,False,19,0.19757,2020-03-18,0.0,0,7,state,PE,1,0
2020-03-18,202012,11516840.0,11433957.0,False,False,14,0.12155999999999999,2020-03-18,0.0,0,7,state,PR,2,0
2020-03-18,202012,17366189.0,17264943.0,False,False,63,0.36277,2020-03-18,0.0,0,14,state,RJ,38,0
2020-03-18,202012,3534165.0,3506853.0,False,False,1,0.0283,2020-03-18,0.0,0,7,state,RN,0,0
2020-03-18,202012,11422973.0,11377239.0,False,False,19,0.16633,2020-03-18,0.0,0,9,state,RS,11,0
2020-03-18,202012,7252502.0,7164788.0,False,False,14,0.19304000000000002,2020-03-18,0.0,0,7,state,SC,7,0
2020-03-18,202012,2318822.0,2298696.0,False,False,6,0.25875,2020-03-18,0.0,0,5,state,SE,1,0
2020-03-18,202012,46289333.0,45919049.0,False,False,240,0.51848,2020-03-18,0.0125,3,23,state,SP,76,2
2020-03-18,202012,1590248.0,1572866.0,False,False,1,0.06287999999999999,2020-03-18,0.0,0,1,state,TO,1,0
2020-03-19,202012,894470.0,881935.0,False,False,4,0.44719,2020-03-19,0.0,0,3,state,AC,1,0
2020-03-19,202012,3351543.0,3337357.0,False,False,4,0.11935,2020-03-19,0.0,0,12,state,AL,3,0
2020-03-19,202012,4207714.0,4144597.0,False,False,3,0.0713,2020-03-19,0.0,0,7,state,AM,1,0
2020-03-19,202012,14930634.0,14873064.0,False,False,31,0.20763,2020-03-19,0.0,0,14,state,BA,4,0
2020-03-19,202012,9187103.0,9132078.0,False,False,24,0.26124,2020-03-19,0.0,0,4,state,CE,5,0
2020-03-19,202012,3055149.0,3015268.0,False,False,42,1.37473,2020-03-19,0.0,0,13,state,DF,8,0
2020-03-19,202012,4064052.0,4018650.0,False,False,13,0.31988,2020-03-19,0.0,0,15,state,ES,2,0
2020-03-19,202012,7113540.0,7018354.0,False,False,15,0.21086999999999997,2020-03-19,0.0,0,8,state,GO,3,0
2020-03-19,202012,21292666.0,21168791.0,False,False,29,0.1362,2020-03-19,0.0,0,12,state,MG,10,0
2020-03-19,202012,2809394.0,2778986.0,False,False,9,0.32035,2020-03-19,0.0,0,6,state,MS,2,0
2020-03-19,202012,8690745.0,8602865.0,False,False,1,0.01151,2020-03-19,0.0,0,2,state,PA,0,0
2020-03-19,202012,4039277.0,4018127.0,False,False,1,0.02476,2020-03-19,0.0,0,8,state,PB,0,0
2020-03-19,202012,9616621.0,9557071.0,False,False,28,0.29116,2020-03-19,0.0,0,8,state,PE,9,0
2020-03-19,202012,3281480.0,3273227.0,False,False,3,0.09142,2020-03-19,0.0,0,1,state,PI,3,0
2020-03-19,202012,11516840.0,11433957.0,False,False,23,0.19971,2020-03-19,0.0,0,8,state,PR,9,0
2020-03-19,202012,17366189.0,17264943.0,False,False,66,0.38005,2020-03-19,0.0303,2,15,state,RJ,3,2
2020-03-19,202012,3534165.0,3506853.0,False,True,1,0.0283,2020-03-18,0.0,0,8,state,RN,0,0
2020-03-19,202012,11422973.0,11377239.0,False,False,31,0.27138,2020-03-19,0.0,0,10,state,RS,12,0
2020-03-19,202012,7252502.0,7164788.0,False,False,21,0.28956,2020-03-19,0.0,0,8,state,SC,7,0
2020-03-19,202012,2318822.0,2298696.0,False,True,6,0.25875,2020-03-18,0.0,0,6,state,SE,0,0
2020-03-19,202012,46289333.0,45919049.0,False,False,286,0.61785,2020-03-19,0.0175,5,24,state,SP,46,2
2020-03-19,202012,1590248.0,1572866.0,False,False,1,0.06287999999999999,2020-03-19,0.0,0,2,state,TO,0,0
2020-03-20,202012,894470.0,881935.0,False,False,7,0.78259,2020-03-20,0.0,0,4,state,AC,3,0
2020-03-20,202012,3351543.0,3337357.0,False,False,6,0.17902,2020-03-20,0.0,0,13,state,AL,2,0
2020-03-20,202012,4207714.0,4144597.0,False,False,7,0.16635999999999998,2020-03-20,0.0,0,8,state,AM,4,0
2020-03-20,202012,861773.0,845731.0,False,False,1,0.11604,2020-03-20,0.0,0,1,state,AP,1,0
2020-03-20,202012,14930634.0,14873064.0,False,False,34,0.22771999999999998,2020-03-20,0.0,0,15,state,BA,3,0
2020-03-20,202012,9187103.0,9132078.0,False,False,68,0.74017,2020-03-20,0.0,0,5,state,CE,44,0
2020-03-20,202012,3055149.0,3015268.0,False,False,87,2.84765,2020-03-20,0.0,0,14,state,DF,45,0
2020-03-20,202012,4064052.0,4018650.0,False,False,16,0.3937,2020-03-20,0.0,0,16,state,ES,3,0
2020-03-20,202012,7113540.0,7018354.0,False,False,18,0.25304,2020-03-20,0.0,0,9,state,GO,3,0
2020-03-20,202012,7114598.0,7075181.0,False,False,1,0.01406,2020-03-20,0.0,0,1,state,MA,1,0
2020-03-20,202012,21292666.0,21168791.0,False,False,38,0.17847000000000002,2020-03-20,0.0,0,13,state,MG,9,0
2020-03-20,202012,2809394.0,2778986.0,False,False,12,0.42713999999999996,2020-03-20,0.0,0,7,state,MS,3,0
2020-03-20,202012,3526220.0,3484466.0,False,False,1,0.028360000000000003,2020-03-20,0.0,0,1,state,MT,1,0
2020-03-20,202012,8690745.0,8602865.0,False,False,2,0.02301,2020-03-20,0.0,0,3,state,PA,1,0
2020-03-20,202012,4039277.0,4018127.0,False,False,1,0.02476,2020-03-20,0.0,0,9,state,PB,0,0
2020-03-20,202012,9616621.0,9557071.0,False,False,31,0.32236,2020-03-20,0.0,0,9,state,PE,3,0
2020-03-20,202012,3281480.0,3273227.0,False,False,4,0.1219,2020-03-20,0.0,0,2,state,PI,1,0
2020-03-20,202012,11516840.0,11433957.0,False,False,36,0.31259000000000003,2020-03-20,0.0,0,9,state,PR,13,0
2020-03-20,202012,17366189.0,17264943.0,False,True,66,0.38005,2020-03-19,0.0303,2,16,state,RJ,0,0
2020-03-20,202012,3534165.0,3506853.0,False,False,6,0.16977,2020-03-20,0.0,0,9,state,RN,5,0
2020-03-20,202012,1796460.0,1777225.0,False,False,1,0.055670000000000004,2020-03-20,0.0,0,1,state,RO,1,0
2020-03-20,202012,11422973.0,11377239.0,False,False,43,0.37643000000000004,2020-03-20,0.0,0,11,state,RS,12,0
2020-03-20,202012,7252502.0,7164788.0,False,False,40,0.55153,2020-03-20,0.0,0,9,state,SC,19,0
2020-03-20,202012,2318822.0,2298696.0,False,False,7,0.30188000000000004,2020-03-20,0.0,0,7,state,SE,1,0
2020-03-20,202012,46289333.0,45919049.0,False,False,396,0.85549,2020-03-20,0.0227,9,25,state,SP,110,4
2020-03-20,202012,1590248.0,1572866.0,False,False,1,0.06287999999999999,2020-03-20,0.0,0,3,state,TO,0,0
2020-03-21,202012,894470.0,881935.0,False,False,11,1.2297799999999999,2020-03-21,0.0,0,5,state,AC,4,0
2020-03-21,202012,3351543.0,3337357.0,False,False,7,0.20886,2020-03-21,0.0,0,14,state,AL,1,0
2020-03-21,202012,4207714.0,4144597.0,False,False,11,0.26142,2020-03-21,0.0,0,9,state,AM,4,0
2020-03-21,202012,861773.0,845731.0,False,False,1,0.11604,2020-03-21,0.0,0,2,state,AP,0,0
2020-03-21,202012,14930634.0,14873064.0,False,False,41,0.2746,2020-03-21,0.0,0,16,state,BA,7,0
2020-03-21,202012,9187103.0,9132078.0,False,False,84,0.91433,2020-03-21,0.0,0,6,state,CE,16,0
2020-03-21,202012,3055149.0,3015268.0,False,False,108,3.53502,2020-03-21,0.0,0,15,state,DF,21,0
2020-03-21,202012,4064052.0,4018650.0,False,False,26,0.63976,2020-03-21,0.0,0,17,state,ES,10,0
2020-03-21,202012,7113540.0,7018354.0,False,False,19,0.2671,2020-03-21,0.0,0,10,state,GO,1,0
2020-03-21,202012,7114598.0,7075181.0,False,False,2,0.028110000000000003,2020-03-21,0.0,0,2,state,MA,1,0
2020-03-21,202012,21292666.0,21168791.0,False,False,55,0.2583,2020-03-21,0.0,0,14,state,MG,17,0
2020-03-21,202012,2809394.0,2778986.0,False,False,16,0.56952,2020-03-21,0.0,0,8,state,MS,4,0
2020-03-21,202012,3526220.0,3484466.0,False,True,1,0.028360000000000003,2020-03-20,0.0,0,2,state,MT,0,0
2020-03-21,202012,8690745.0,8602865.0,False,False,2,0.02301,2020-03-21,0.0,0,4,state,PA,0,0
